County,Aid ,Population,Poverty
Albany,52322761.69,314679,11.9
Allegany,13868861.67,46654,16.9
Broome,47521056.49,198591,17.4
Cattaraugus,24263476.15,77211,16.5
Cayuga,16048356.05,76644,12.1
Chautauqua,34569982.66,128042,18.2
Chemung,20819730.29,84456,13.9
Chenango,15263888.82,47407,13.5
Clinton,18949423.73,80095,15
Columbia,6653848.96,61587,11.6
Cortland,11963930.7,46984,16.4
Delaware,7665939.3,44644,16.6
Dutchess,49183077.74,296012,9
Erie,216417671.8,949715,14.2
Essex,3276728.81,37501,9.9
Franklin,12510778.53,47996,17.8
Fulton,13878676.56,53588,14.9
Genesee,14662227.2,58387,10.9
Greene,7420473.47,48026,14
Hamilton,128282.05,5068,9.9
Herkimer,17345203.2,60596,13.6
Jefferson,30813684.49,117634,14
Lewis,7290887.98,26681,13.5
Livingston,13145554.99,62253,13.2
Madison,16298596.56,68466,9.8
Monroe,190530528.5,757332,14.4
Montgomery,14740885.77,49539,19.8
Nassau,185283631.7,1391678,5.6
New York,1415934644,8736047,17.5
Niagara,52280195.6,212808,13.5
Oneida,64465140.18,232034,15.5
Onondaga,122482678.4,474621,14.1
Ontario,23553742.9,112060,8.7
Orange,98307452.11,398277,11.6
Orleans,11606150.87,40588,13.7
Oswego,36668267.48,118019,17
Otsego,11195994.76,58952,14.9
Putnam,14632657.74,97960,5
Rensselaer,33949492.39,161125,11.7
Rockland,41139329.57,336485,13.9
Saratoga,39637203.31,235010,5.8
Schenectady,37812296.72,157515,11.4
Schoharie,6911310.86,29936,12.1
Schuyler,3003908.37,17920,15.4
Seneca,7243452.32,33900,12.2
st lawrence,28982232.95,108836,17.9
Steuben,27844677.16,94153,13.7
Suffolk,294054815.9,1522998,6.9
Sullivan,13378147.4,78230,15.2
Tioga,14294910.51,48567,10.2
Tompkins,13954664.99,105638,18.9
Ulster,30339198.27,181862,13.8
Warren,9787065.27,65692,9.5
Washington,14878126.87,61504,11.3
Wayne,25971516.76,91332,11.6
Westchester,117641185,999723,8.8
Wyoming,7182513.46,40679,10.5
Yates,2208875.25,24808,11.9
